course_id,course_title,career_field,difficulty_level,duration_weeks,credit_units,description
CRS-112,Natural Language Processing & Generative AI Systems,Data Science & Artificial Intelligence,Advanced,7,4,"Transformer architectures, tokenization, BERT/GPT fine-tuning, retrieval-augmented generation (RAG), and vector databases."
CRS-113,MLOps: Machine Learning Lifecycle & Production Deployment,Data Science & Artificial Intelligence,Advanced,6,3,"Model serving, experiment tracking with MLflow, data drift monitoring, automated retraining pipelines, and containerization."
CRS-114,Linux Systems Administration & Bash Automation,Cloud Computing & DevOps,Beginner,4,2,"Operating system fundamentals, file systems, permissions, process monitoring, cron scheduling, and automated shell scripts."
CRS-115,"Cloud Infrastructure Fundamentals (AWS, Azure & GCP)",Cloud Computing & DevOps,Beginner,6,3,"Core cloud concepts: VPCs, compute instances, object storage, IAM policies, serverless functions, and cost management."
CRS-116,Containerization Essentials with Docker,Cloud Computing & DevOps,Intermediate,5,3,"Build multi-stage Docker images, manage container networking, storage volumes, and local multi-service orchestration with Compose."
CRS-117,CI/CD Pipelines & DevOps Automation,Cloud Computing & DevOps,Intermediate,6,3,"Automated build, test, and release pipelines using GitHub Actions, GitLab CI, artifact registries, and continuous delivery."
CRS-118,Kubernetes Cluster Management & Helm Packaging,Cloud Computing & DevOps,Advanced,8,4,"Production Kubernetes deployments, StatefulSets, Ingress controllers, Helm charts, autoscaling, and zero-downtime rollouts."
CRS-119,Infrastructure as Code (IaC) with Terraform & Ansible,Cloud Computing & DevOps,Advanced,6,3,"Declarative multi-cloud provisioning with Terraform modules, state locking, and configuration management via Ansible playbooks."
CRS-120,Computer Networking & Protocol Analysis (TCP/IP & Wireshark),Cybersecurity & Network Security,Beginner,5,3,"OSI and TCP/IP stack analysis, subnetting, DNS/DHCP routing, packet inspection, and packet capture dissection with Wireshark."
CRS-121,Cybersecurity Fundamentals & Threat Modeling,Cybersecurity & Network Security,Beginner,5,3,"Security governance, STRIDE threat modeling, vulnerability classification, security controls, and compliance standards."
CRS-122,Ethical Hacking & Network Penetration Testing,Cybersecurity & Network Security,Intermediate,8,4,"Reconnaissance techniques, port scanning with Nmap, exploitation frameworks (Metasploit), privilege escalation, and reports."
CRS-123,"Defensive Security, Next-Gen Firewalls & SIEM Systems",Cybersecurity & Network Security,Intermediate,6,3,"Security Operation Center (SOC) workflows, log aggregation with Splunk/Elastic, intrusion detection (Snort), and firewall tuning."
CRS-124,Applied Cryptography & Public Key Infrastructure (PKI),Cybersecurity & Network Security,Advanced,6,3,"Symmetric and asymmetric encryption, TLS 1.3 handshakes, digital signatures, certificate authorities, and hashing algorithms."
CRS-125,"Digital Forensics, Incident Response & Malware Analysis",Cybersecurity & Network Security,Advanced,7,4,"Evidence preservation, memory volatility analysis, disk imaging, triage forensics, and reverse-engineering suspicious binaries."
CRS-126,Mobile UX Patterns & Human Interface Guidelines,Mobile App Development,Beginner,4,2,"Navigation patterns, touch targets, Material Design 3 guidelines, Apple HIG, responsive mobile form factors, and gestures."
CRS-127,Cross-Platform Mobile Apps with Flutter & Dart,Mobile App Development,Intermediate,8,4,"Build high-performance native iOS and Android apps with Flutter widgets, Bloc state management, and animations."
CRS-128,Cross-Platform Mobile Engineering with React Native,Mobile App Development,Intermediate,7,4,"Bridge web and native with React Native, Expo development workflow, native device APIs, and offline-first data sync."
CRS-129,Native Android App Development with Kotlin & Jetpack Compose,Mobile App Development,Intermediate,8,4,"Modern Android architecture with Jetpack Compose declarative UI, Coroutines/Flow, Room database, and MVVM design pattern."
CRS-130,Native iOS App Development with Swift & SwiftUI,Mobile App Development,Intermediate,8,4,"Construct iOS apps with SwiftUI, Combine reactive pipelines, CoreData/SwiftData, async/await concurrency, and widget extensions."
CRS-131,"Mobile Application Security, Testing & App Store CI/CD",Mobile App Development,Advanced,5,3,"App sandboxing, reverse-engineering resistance, biometric auth, Fastlane deployment, and automated UI integration testing."
CRS-132,User Experience Research & Usability Testing Methods,UI/UX & Product Design,Beginner,4,2,"Qualitative and quantitative user interviews, persona creation, journey mapping, card sorting, and remote usability testing."
CRS-133,UI Design Systems & Interactive Prototyping with Figma,UI/UX & Product Design,Beginner,5,3,"Design tokens, auto-layout, component variants, responsive typography scales, and high-fidelity clickable Figma prototypes."
CRS-134,"Interaction Design, Micro-Animations & Design Tokens",UI/UX & Product Design,Intermediate,5,3,"Motion physics, choreographing micro-interactions, state transitions, animated SVGs, and designer-developer handoff protocols."
CRS-135,Information Architecture & Wireframing Complex Systems,UI/UX & Product Design,Intermediate,4,2,"Site map hierarchies, navigation trees, content taxonomy, mental models, and rapid low-fidelity wireframing."
CRS-136,Digital Accessibility (WCAG 2.2) & Inclusive Design,UI/UX & Product Design,Intermediate,4,2,"Designing for color blindness, screen readers, keyboard navigation, accessible contrast ratios, and WCAG compliance audits."
CRS-137,"Product Strategy, Design Systems at Scale & UX Metrics",UI/UX & Product Design,Advanced,6,3,"North Star metrics, HEART framework, scaling cross-functional enterprise design libraries, and calculating UX ROI."
